5.208.0.0/14	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.212.0.0/14	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.216.0.0/16	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.217.0.0/16	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.218.0.0/18	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		8
5.218.64.0/18	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		8
5.218.128.0/18	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.218.192.0/20	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.218.208.0/20	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		10
5.218.224.0/20	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		14
5.218.240.0/20	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.219.0.0/16	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.220.0.0/14	36.0.0.0/6	0.0.0.0/16	0.0.16.0/20		6
5.224.0.0/11	32.0.0.0/5	0.0.0.0/16	0.0.16.0/20		10
